#* opts
# style NewRibbons
# header1 mol
# format_data %8.4f
# header2 frame
# colorID 0
# collections rmsd avg std min max
# sets dual
# format_scale %4.2f
# ascii 0
# format_key %3d %3d
# connect lines
# formats f
# calctype rmsd
# mode frames
# color Molecule
#* guiopts
# byres 1
# align 0
# force_samemols 0
# diagonal 0
#* sets
# mol2_def id
# mol_all 0 1
# mol1 0
# mol2 1
# rep_sel protein
# samemols 0
# frame1_def all
# frame2_def all
# frame1 {0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19}
# frame2 {0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19}
# sel1 protein
# sel2 protein
# mol1_def id
    mol1   frame1       mol2   frame2       rmsd      avg      std      min      max
       0        0          1        0     0.0000   0.0000   0.0000   0.0000   0.0000
       0        0          1        1     2.4785   1.8785   1.7806   0.4359  12.8535
       0        0          1        2     2.3046   1.8857   1.2859   0.5104   8.4421
       0        0          1        3     2.4671   1.8507   1.6486   0.4442  11.5379
       0        0          1        4     2.2726   1.8261   1.3093   0.3367   9.1578
       0        0          1        5     2.4867   1.9284   1.7897   0.4211  12.2245
       0        0          1        6     2.7547   1.9594   2.2287   0.3644  16.8708
       0        0          1        7     2.5188   1.8061   2.0879   0.2235  16.0667
       0        0          1        8     2.4271   1.9148   1.5611   0.3721  11.0203
       0        0          1        9     2.2952   1.8556   1.5212   0.5256  10.2933
       0        0          1       10     3.1122   2.0401   2.8211   0.2422  22.8444
       0        0          1       11     2.6057   1.9295   2.1157   0.4106  16.6807
       0        0          1       12     2.2768   1.7674   1.3082   0.3664   8.3830
       0        0          1       13     2.0950   1.7655   1.0544   0.3403   5.5151
       0        0          1       14     3.0878   2.0781   2.6469   0.4298  18.9239
       0        0          1       15     2.3211   1.7798   1.5120   0.3306   8.3481
       0        0          1       16     3.0516   2.0583   2.6154   0.3704  18.4664
       0        0          1       17     2.5339   2.0760   1.6310   0.5061  11.7060
       0        0          1       18     2.5189   1.9059   1.9217   0.3721  16.7074
       0        0          1       19     2.4125   1.7916   1.8470   0.2892  13.4374
       0        1          1        0     2.4785   1.8785   1.7806   0.4359  12.8535
       0        1          1        1     0.0000   0.0000   0.0000   0.0000   0.0000
       0        1          1        2     2.1852   1.7889   1.3173   0.3219  10.7286
       0        1          1        3     2.5701   1.9742   1.7158   0.2984  11.2894
       0        1          1        4     2.4810   1.9183   1.8126   0.3271  14.2115
       0        1          1        5     3.2407   2.2202   2.8671   0.2347  23.6326
       0        1          1        6     2.4229   1.8133   1.8525   0.1559  13.5545
       0        1          1        7     3.0609   2.0391   2.7681   0.2856  20.8992
       0        1          1        8     3.0122   2.0387   2.6585   0.2548  20.5337
       0        1          1        9     2.8843   2.0462   2.4457   0.4399  19.7916
       0        1          1       10     3.1369   2.1523   2.6621   0.2583  18.1963
       0        1          1       11     3.1293   2.1758   2.7666   0.3538  21.8084
       0        1          1       12     2.4057   1.8520   1.7190   0.2415  12.2739
       0        1          1       13     2.7027   2.0193   1.9538   0.2688  13.2352
       0        1          1       14     3.3584   2.2819   3.0272   0.4423  24.1831
       0        1          1       15     2.7651   2.0839   2.1231   0.4766  17.2046
       0        1          1       16     3.3376   2.1368   3.1015   0.3582  23.4801
       0        1          1       17     3.1630   2.2508   2.6300   0.1759  20.6851
       0        1          1       18     2.4463   1.8810   1.5866   0.3034  10.3004
       0        1          1       19     3.0734   2.0785   2.6592   0.3459  18.3872
       0        2          1        0     2.3046   1.8857   1.2859   0.5104   8.4421
       0        2          1        1     2.1852   1.7889   1.3173   0.3219  10.7286
       0        2          1        2     0.0000   0.0000   0.0000   0.0000   0.0000
       0        2          1        3     2.4964   1.8461   1.7350   0.1809  10.1878
       0        2          1        4     2.3212   1.8323   1.3715   0.4082   8.1394
       0        2          1        5     2.7020   1.9744   2.0809   0.3001  15.0387
       0        2          1        6     2.8107   2.0101   2.3017   0.2547  19.2815
       0        2          1        7     2.6478   1.9247   2.1027   0.3210  14.6236
       0        2          1        8     2.6501   1.9933   2.0060   0.3649  13.8820
       0        2          1        9     2.7051   2.0452   2.0281   0.3902  15.2864
       0        2          1       10     3.1165   2.1360   2.6126   0.2748  17.8980
       0        2          1       11     2.7021   2.0290   2.1174   0.4502  14.7269
       0        2          1       12     2.4292   1.8985   1.4302   0.1906   8.8179
       0        2          1       13     2.3413   1.8137   1.5626   0.2456  10.9095
       0        2          1       14     3.1235   2.1379   2.8101   0.5563  22.9099
       0        2          1       15     2.6820   2.0243   1.8873   0.4063  13.6101
       0        2          1       16     3.2611   2.1288   2.9476   0.1856  22.8967
       0        2          1       17     2.4650   1.9352   1.6987   0.4086  10.6852
       0        2          1       18     2.2914   1.7982   1.6140   0.3973  12.9938
       0        2          1       19     2.7389   1.9580   2.2400   0.2575  15.7137
       0        3          1        0     2.4671   1.8507   1.6486   0.4442  11.5379
       0        3          1        1     2.5701   1.9742   1.7158   0.2984  11.2894
       0        3          1        2     2.4964   1.8461   1.7350   0.1809  10.1878
       0        3          1        3     0.0000   0.0000   0.0000   0.0000   0.0000
       0        3          1        4     2.3805   1.9545   1.5298   0.4658  10.8312
       0        3          1        5     2.7579   1.9049   2.4116   0.2295  17.7836
       0        3          1        6     2.1640   1.7256   1.4127   0.3266  10.2581
       0        3          1        7     3.2477   2.1867   2.8505   0.2385  19.8379
       0        3          1        8     2.7282   2.0365   2.0172   0.5117  14.3164
       0        3          1        9     2.4962   1.9623   1.6856   0.2350  12.0563
       0        3          1       10     3.6530   2.2297   3.3176   0.3805  22.8229
       0        3          1       11     3.3608   2.2263   2.9825   0.3746  20.3990
       0        3          1       12     2.2536   1.7978   1.4066   0.1998   9.5013
       0        3          1       13     2.3405   1.8317   1.4486   0.2575   8.4167
       0        3          1       14     2.3985   1.7962   1.9509   0.3976  17.1855
       0        3          1       15     2.1508   1.7815   1.2670   0.1876   8.8369
       0        3          1       16     2.5734   1.9574   1.9649   0.4673  16.0679
       0        3          1       17     3.0740   2.1132   2.6001   0.2885  17.9393
       0        3          1       18     2.9818   2.0801   2.2490   0.1618  14.8614
       0        3          1       19     2.6965   1.9827   2.0448   0.1776  13.9995
       0        4          1        0     2.2726   1.8261   1.3093   0.3367   9.1578
       0        4          1        1     2.4810   1.9183   1.8126   0.3271  14.2115
       0        4          1        2     2.3212   1.8323   1.3715   0.4082   8.1394
       0        4          1        3     2.3805   1.9545   1.5298   0.4658  10.8312
       0        4          1        4     0.0000   0.0000   0.0000   0.0000   0.0000
       0        4          1        5     2.4697   1.9252   1.6375   0.3664  10.8920
       0        4          1        6     2.6229   1.8453   2.3140   0.0961  20.0136
       0        4          1        7     2.6717   1.9622   2.0106   0.4028  12.3712
       0        4          1        8     2.4528   1.8673   1.6027   0.1274  10.0391
       0        4          1        9     2.3514   1.9486   1.4615   0.3206  11.9495
       0        4          1       10     3.4200   2.2170   3.0646   0.2965  20.4417
       0        4          1       11     2.8356   2.0012   2.2472   0.2311  13.9484
       0        4          1       12     2.0760   1.7735   1.0168   0.4175   5.4533
       0        4          1       13     2.2153   1.8366   1.2045   0.3627   6.7953
       0        4          1       14     2.8849   2.1046   2.4699   0.4098  20.6430
       0        4          1       15     2.2561   1.9203   1.3192   0.3798  10.9969
       0        4          1       16     2.8404   2.0573   2.3903   0.2564  20.7517
       0        4          1       17     2.6378   1.9831   1.8065   0.2430  14.0359
       0        4          1       18     2.7859   1.9527   2.2350   0.2819  16.1350
       0        4          1       19     2.5470   1.9064   1.8618   0.2969  12.4397
       0        5          1        0     2.4867   1.9284   1.7897   0.4211  12.2245
       0        5          1        1     3.2407   2.2202   2.8671   0.2347  23.6326
       0        5          1        2     2.7020   1.9744   2.0809   0.3001  15.0387
       0        5          1        3     2.7579   1.9049   2.4116   0.2295  17.7836
       0        5          1        4     2.4697   1.9252   1.6375   0.3664  10.8920
       0        5          1        5     0.0000   0.0000   0.0000   0.0000   0.0000
       0        5          1        6     3.4100   2.1503   3.2102   0.4433  24.7526
       0        5          1        7     2.2133   1.8230   1.4513   0.4030  13.1659
       0        5          1        8     2.2260   1.8083   1.2859   0.2886   7.3550
       0        5          1        9     2.3779   1.8686   1.6457   0.2295  12.4873
       0        5          1       10     3.6318   2.2455   3.4049   0.3679  26.4140
       0        5          1       11     2.4439   1.9120   1.6992   0.3642  12.7865
       0        5          1       12     2.5419   1.9388   1.7393   0.3147  12.2956
       0        5          1       13     2.4772   1.9553   1.8171   0.4609  14.4019
       0        5          1       14     2.9990   2.0595   2.5497   0.4211  17.8161
       0        5          1       15     2.6632   1.9933   2.0050   0.3112  14.9752
       0        5          1       16     3.1528   2.1860   2.6237   0.4012  18.7557
       0        5          1       17     2.1230   1.7745   1.2363   0.3105   8.3828
       0        5          1       18     3.2032   2.1409   2.8686   0.4099  23.8992
       0        5          1       19     2.1781   1.7594   1.4965   0.2679  11.6481
       0        6          1        0     2.7547   1.9594   2.2287   0.3644  16.8708
       0        6          1        1     2.4229   1.8133   1.8525   0.1559  13.5545
       0        6          1        2     2.8107   2.0101   2.3017   0.2547  19.2815
       0        6          1        3     2.1640   1.7256   1.4127   0.3266  10.2581
       0        6          1        4     2.6229   1.8453   2.3140   0.0961  20.0136
       0        6          1        5     3.4100   2.1503   3.2102   0.4433  24.7526
       0        6          1        6     0.0000   0.0000   0.0000   0.0000   0.0000
       0        6          1        7     3.6310   2.1959   3.5010   0.2593  25.9237
       0        6          1        8     3.1592   2.0947   2.7814   0.2426  19.9125
       0        6          1        9     2.6756   2.0413   2.0658   0.4174  16.7021
       0        6          1       10     3.7334   2.2763   3.5278   0.3885  25.8847
       0        6          1       11     3.7039   2.2874   3.5462   0.3345  25.8803
       0        6          1       12     2.5217   1.8963   1.9888   0.2529  15.6027
       0        6          1       13     2.8120   2.1067   2.1248   0.3468  16.0258
       0        6          1       14     2.7598   2.0427   2.1835   0.3152  15.6495
       0        6          1       15     2.5303   1.9756   1.7977   0.4210  14.8381
       0        6          1       16     2.6747   1.9556   2.0668   0.3336  14.0953
       0        6          1       17     3.5358   2.1908   3.3605   0.3005  26.1135
       0        6          1       18     2.9300   2.0574   2.3039   0.2989  16.8246
       0        6          1       19     3.0442   2.0052   2.6074   0.3537  17.7784
       0        7          1        0     2.5188   1.8061   2.0879   0.2235  16.0667
       0        7          1        1     3.0609   2.0391   2.7681   0.2856  20.8992
       0        7          1        2     2.6478   1.9247   2.1027   0.3210  14.6236
       0        7          1        3     3.2477   2.1867   2.8505   0.2385  19.8379
       0        7          1        4     2.6717   1.9622   2.0106   0.4028  12.3712
       0        7          1        5     2.2133   1.8230   1.4513   0.4030  13.1659
       0        7          1        6     3.6310   2.1959   3.5010   0.2593  25.9237
       0        7          1        7     0.0000   0.0000   0.0000   0.0000   0.0000
       0        7          1        8     2.6676   2.0120   2.0755   0.2312  17.3627
